from_Indicator,Relation,to_chemicals,CAS
Nickel and its compounds,INCLUDE,"Nickel, [[]6,8,16,18-tetrachloro-1,11-bis(2-furanylmethyl)-1,10,11,20-tetrahydrodibenzo[[]c,j]dipyrazolo[[]3,4-f:3',4'-m][[]1,2,5,8,9,12]hexaazacyclotetradecinato(2-)-N5,N10,N15,N20]-",79745-01-0
Nickel and its compounds,INCLUDE,Nickel hydride (NiH),14332-32-2
Nickel and its compounds,INCLUDE,cobalt lithium manganese nickel oxide,346417-97-8
Nickel and its compounds,INCLUDE,"Nickel, [[]29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, sulfo [[][[]4-[[][[]2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., sodium salts",131866-99-4
Nickel and its compounds,INCLUDE,"Phosphinic acid, nickel(2+) salt, hexahydrate",13477-97-9
Nickel and its compounds,INCLUDE,"Nickel, dichloro[[]1,1'-(1,3-propanediyl)bis[[]1,1-diphenylphosphine-[?]P]]-",15629-92-2
Nickel and its compounds,INCLUDE,bunsenite,34492-97-2
Nickel and its compounds,INCLUDE,millerite,1314-04-1
Nickel and its compounds,INCLUDE,nickel dilactate,16039-61-5
Nickel and its compounds,INCLUDE,nickel potassium fluoride,11132-10-8
Nickel and its compounds,INCLUDE,Pentaammonium hydrogen [[[ethylenebis[nitrilobis(methylene)]]tetrakis[phosphonato]](8-)]nickelate(6-),68958-86-1
Nickel and its compounds,INCLUDE,Hydrogen pentapotassium [[[ethylenebis[nitrilobis(methylene)]]tetrakis[phosphonato]](8-)]nickelate(6-),68958-87-2
Nickel and its compounds,INCLUDE,Hydrogen pentasodium [[[ethylenebis[nitrilobis(methylene)]]tetrakis[phosphonato]](8-)]nickelate(6-),68958-88-3
Nickel and its compounds,INCLUDE,"Bis(ethane-1,2-diamine-N,N')nickel(2+) bis[bis(cyano-C)aurate(1-)]",68958-89-4
Nickel and its compounds,INCLUDE,Nickel icosatitanium pentatriacontaoxide diwolframate,69011-05-8
Nickel and its compounds,INCLUDE,"Slags, ferronickel-manufg.",69012-29-9
Nickel and its compounds,INCLUDE,"Matte, nickel",69012-50-6
Nickel and its compounds,INCLUDE,"Bis(4-benzoyl-2,4-dihydro-5-methyl-2-phenyl-3H-pyrazol-3-onato-O,O')nickel",69524-96-5
Nickel and its compounds,INCLUDE,Nickel zirconium trioxide,70692-93-2
Nickel and its compounds,INCLUDE,"Bis(5-oxo-L-prolinato-N1,O2)nickel",70824-02-1
Nickel and its compounds,INCLUDE,"Bis(3-amino-4,5,6,7-tetrachloro-1H-isoindol-1-one oximato-N2,O1)nickel",70833-37-3
Nickel and its compounds,INCLUDE,"Trisodium [22-[[[3-[(5-chloro-2,6-difluoro-4-pyrimidinyl)amino]phenyl]amino]sulphonyl]-29H,31H-phthalocyanine-1,8,15-trisulphonato(5-)-N29,N30,N31,N32]nickelate(3-)",71243-96-4
Nickel and its compounds,INCLUDE,Nickel iron chromite black spinel,71631-15-7
Nickel and its compounds,INCLUDE,"Ethyl hydrogen sulphate, nickel(2+) salt",71720-48-4
Nickel and its compounds,INCLUDE,"Nickel uranyl tetraacetate, of uranium depleted in uranium-235",71767-12-9
Nickel and its compounds,INCLUDE,"[μ-(piperazine-N1:N4)]bis[3-[1-[(4,5,6,7-tetrachloro-1-oxo-1H-isoindol-3-yl)hydrazono]ethyl]quinoline-2,4(1H,3H)-dionato(2-)]dinickel",71889-22-0
Nickel and its compounds,INCLUDE,"Bis(D-gluconato-O1,O2)nickel",71957-07-8
Nickel and its compounds,INCLUDE,Dihydrogen hexasodium bis[3-[(2-amino-8-hydroxy-6-sulpho-1-naphthyl)azo]-2-hydroxy-5-sulphobenzoato(5-)]nickelate(8-),72139-08-3
Nickel and its compounds,INCLUDE,"Nickelate(6-), [22-[[[3-[[4,5-dihydro-3-methyl-5-oxo-1-[3-sulfo-4-[2-[2-sulfo-4-[(2,5,6-trichloro-4-pyrimidinyl)amino]phenyl]ethenyl]phenyl]-1H-pyrazol-4-yl]azo]-4-sulfophenyl]amino]sulfonyl]-29H,31H-phthalocyanine-1,8,15-trisulfonato(8-)-N29,N30,N31,N32]-, hexasodium, (SP-4-2)-",72152-45-5
Nickel and its compounds,INCLUDE,"Trisodium [[[[3-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]phenyl]amino]sulphonyl]tris(aminosulphonyl)-29H,31H-phthalocyaninetrisulphonato(5-)-N29,N30,N31,N32]nickelate(3-)",72229-81-3
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[3-[(1,3-dioxobutyl)amino]phenyl]amino]sulfonyl derivs.",72828-53-6
Nickel and its compounds,INCLUDE,"[N,N',N'',N'''-tetrakis[4-(4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)phenyl]-29H,31H-phthalocyaninetetrasulphonamidato(2-)-N29,N30,N31,N32]nickel",72986-45-9
Nickel and its compounds,INCLUDE,"Antimony oxide (Sb2O3), solid soln. with nickel oxide (NiO) and titanium oxide (TiO2)",73892-02-1
Nickel and its compounds,INCLUDE,"Bis[N-(2-hydroxyethyl)-N-methylglycinato-N,O,ON]nickel",76625-10-0
Nickel and its compounds,INCLUDE,"Tetrahydrogen [[[(3-amino-4-sulphophenyl)amino]sulphonyl]-29H,31H-phthalocyaninetrisulphonato(6-)-N29,N30,N31,N32]nickelate(4-)",79102-62-8
Nickel and its compounds,INCLUDE,"Bis(4-benzoyl-2,4-dihydro-5-methyl-2-phenyl-3H-pyrazol-3-onato-O,O')(2,2,4,4-tetramethyl-7-oxa-3,20-diazadispiro[5.1.11.2]henicosan-21-one-O21)nickel",79121-51-0
Nickel and its compounds,INCLUDE,"Trisodium [5-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxy-3-[(2-hydroxy-3-nitro-5-sulphophenyl)azo]naphthalene-2,7-disulphonato(5-)]nickelate(3-)",79817-91-7
Nickel and its compounds,INCLUDE,"Dimethoxy[29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]nickel",83898-70-8
Nickel and its compounds,INCLUDE,Nickel di(acetate),136272
Nickel and its compounds,INCLUDE,Nickel oxalate,547-67-1
Nickel and its compounds,INCLUDE,Nickel dibenzoate,553-71-9
Nickel and its compounds,INCLUDE,Nickel dicyanide,557-19-7
Nickel and its compounds,INCLUDE,Nickel bis(4-cyclohexylbutyrate),3906-55-6
Nickel and its compounds,INCLUDE,Nickel bis(2-ethylhexanoate),4454-16-4
Nickel and its compounds,INCLUDE,Nickel(2+) octanoate,4995-91-9
Nickel and its compounds,INCLUDE,Trinickel dicitrate,6018-92-4
Nickel and its compounds,INCLUDE,Nickel(II) fumarate,6283-67-6
Nickel and its compounds,INCLUDE,"2-ethylhexanoic acid, nickel salt",7580-31-6
Nickel and its compounds,INCLUDE,Nickel dichloride,7718-54-9
Nickel and its compounds,INCLUDE,Nickel(2+) sulphite,7757-95-1
Nickel and its compounds,INCLUDE,Dichromium nickel tetraoxide,12018-18-7
Nickel and its compounds,INCLUDE,"Nickel, compound with niobium (1:1)",12034-55-8
Nickel and its compounds,INCLUDE,Nickel dioxide,12035-36-8
Nickel and its compounds,INCLUDE,Nickel tin trioxide,12035-38-0
Nickel and its compounds,INCLUDE,Nickel titanium trioxide,12035-39-1
Nickel and its compounds,INCLUDE,"Antimony, compound with nickel (1:1)",12035-52-8
Nickel and its compounds,INCLUDE,Dinickel phosphide,12035-64-2
Nickel and its compounds,INCLUDE,Trinickel disulphide,12035-72-2
Nickel and its compounds,INCLUDE,Nickel dihydroxide,12054-48-7
Nickel and its compounds,INCLUDE,Dinickel silicide,12059-14-2
Nickel and its compounds,INCLUDE,"Nickel, compound with tin (3:1)",12059-23-3
Nickel and its compounds,INCLUDE,Nickel diarsenide,12068-61-0
Nickel and its compounds,INCLUDE,Nickel sulphate,7786-81-4
Nickel and its compounds,INCLUDE,Antimony nickel titanium oxide yellow,8007-18-9
Nickel and its compounds,INCLUDE,Nickel difluoride,10028-18-9
Nickel and its compounds,INCLUDE,Nickel(2+) selenite,10101-96-9
Nickel and its compounds,INCLUDE,Trinickel bis(orthophosphate),10381-36-9
Nickel and its compounds,INCLUDE,"Aluminium, compound with nickel (1:1)",12003-78-0
Nickel and its compounds,INCLUDE,Dialuminium nickel tetraoxide,12004-35-2
Nickel and its compounds,INCLUDE,Nickel boride,12007-00-0
Nickel and its compounds,INCLUDE,Dinickel boride,12007-01-1
Nickel and its compounds,INCLUDE,Trinickel boride,12007-02-2
Nickel and its compounds,INCLUDE,"Bis(η5-2,4-cyclopentadien-1-yl)nickel",1271-28-9
Nickel and its compounds,INCLUDE,"Bis(1,5-cyclooctadiene)nickel",1295-35-8
Nickel and its compounds,INCLUDE,Nickel monoxide,1313-99-1
Nickel and its compounds,INCLUDE,Nickel selenide,1314-05-2
Nickel and its compounds,INCLUDE,Dinickel trioxide,1314-06-3
Nickel and its compounds,INCLUDE,Nickel(2+) stearate,2223-95-2
Nickel and its compounds,INCLUDE,"Bis(pentane-2,4-dionato-O,O')nickel",3264-82-2
Nickel and its compounds,INCLUDE,Nickel carbonate,3333-67-3
Nickel and its compounds,INCLUDE,Nickel diformate,3349/6/2
Nickel and its compounds,INCLUDE,Nickel(2+) propionate,3349/8/4
Nickel and its compounds,INCLUDE,"Citric acid , ammonium nickel salt",18283-82-4
Nickel and its compounds,INCLUDE,Nickel bis(dihydrogen phosphate),18718-11-1
Nickel and its compounds,INCLUDE,Nickel(2+) hydrogen citrate,18721-51-2
Nickel and its compounds,INCLUDE,"[[1,1'-[1,2-phenylenebis(nitrilomethylidyne)]bis[2-naphtholato]](2-)-N,N',O,O']nickel",20437-10-9
Nickel and its compounds,INCLUDE,"Oxalic acid, nickel salt",20543-06-0
Nickel and its compounds,INCLUDE,"Bis(ethane-1,2-diamine)nickel(2+) sulphate",21264-77-7
Nickel and its compounds,INCLUDE,Nickel(2+) silicate,21784-78-1
Nickel and its compounds,INCLUDE,"[μ-[[1,1',1'',1'''-[benzene-1,2,4,5-tetrayltetrakis(nitromethylidyne)]naphth-2-olato](4-)]]dinickel",22484-07-7
Nickel and its compounds,INCLUDE,"Citric acid, nickel salt",22605-92-1
Nickel and its compounds,INCLUDE,Ammonium nickel trichloride,24640-21-9
Nickel and its compounds,INCLUDE,"Dihydrogen [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']nickelate(2-)",25481-21-4
Nickel and its compounds,INCLUDE,Nickel hexafluorosilicate,26043-11-8
Nickel and its compounds,INCLUDE,Nickel arsenide,27016-75-7
Nickel and its compounds,INCLUDE,Nickel telluride,12142-88-0
Nickel and its compounds,INCLUDE,"Nickel, compound with zirconium (1:2)",12142-92-6
Nickel and its compounds,INCLUDE,Diiron nickel tetraoxide,12168-54-6
Nickel and its compounds,INCLUDE,"Di-μ-carbonylbis(η5-2,4-cyclopentadien-1-yl)dinickel",12170-92-2
Nickel and its compounds,INCLUDE,"Dysprosium, compound with nickel (1:2)",12175-27-8
Nickel and its compounds,INCLUDE,"Lanthanum, compound with nickel (1:5)",12196-72-4
Nickel and its compounds,INCLUDE,Nickel disilicide,12201-89-7
Nickel and its compounds,INCLUDE,Trinickel bis[tetracosa-μ-oxododecaoxo[μ12-[phosphato(3-)-O:O:O:O':O':O':O'':O'':O'':O''':O''':O''']]dodecamolybdate(3-)],12263-13-7
Nickel and its compounds,INCLUDE,"Antimony, compound with nickel (1:3)",12503-49-0
Nickel and its compounds,INCLUDE,Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-),12519-85-6
Nickel and its compounds,INCLUDE,[carbonato(2-)]tetrahydroxytrinickel,12607-70-4
Nickel and its compounds,INCLUDE,Nickel titanium oxide,12653-76-8
Nickel and its compounds,INCLUDE,"Bismuth, compound with nickel (1:1)",12688-64-1
Nickel and its compounds,INCLUDE,Bis(1-nitroso-2-naphtholato)nickel,12794-26-2
Nickel and its compounds,INCLUDE,Nickel(2+) oleate,13001-15-5
Nickel and its compounds,INCLUDE,Dicarbonylbis(triphenylphosphine)nickel,13007-90-4
Nickel and its compounds,INCLUDE,Nickel dinitrate,13138-45-9
Nickel and its compounds,INCLUDE,Nickel dibromide,13462-88-9
Nickel and its compounds,INCLUDE,Nickel diiodide,13462-90-3
Nickel and its compounds,INCLUDE,Tetracarbonylnickel,13463-39-3
Nickel and its compounds,INCLUDE,Trinickel bis(arsenate),13477-70-8
Nickel and its compounds,INCLUDE,Bis(butanedione dioximato)nickel,13478-93-8
Nickel and its compounds,INCLUDE,Nickel diperchlorate,13637-71-3
Nickel and its compounds,INCLUDE,Nickel(2+) palmitate,13654-40-5
Nickel and its compounds,INCLUDE,Nickel dithiocyanate,13689-92-4
Nickel and its compounds,INCLUDE,Nickel bis(sulphamidate),13770-89-3
Nickel and its compounds,INCLUDE,Dinickel orthosilicate,13775-54-7
Nickel and its compounds,INCLUDE,Nickel dipotassium bis(sulphate),13842-46-1
Nickel and its compounds,INCLUDE,Dipotassium tetrafluoronickelate(2-),13859-60-4
Nickel and its compounds,INCLUDE,Tetrakis(trifluorophosphine)nickel,13859-65-9
Nickel and its compounds,INCLUDE,"[N-(carboxymethyl)glycinato(2-)-N,O,ON]nickel",13869-33-5
Nickel and its compounds,INCLUDE,Hexaamminenickel(2+) bis[tetrafluoroborate(1-)],13877-20-8
Nickel and its compounds,INCLUDE,Nickel bis(dibutyldithiocarbamate),13927-77-0
Nickel and its compounds,INCLUDE,Disodium tetracyanonickelate(2-),14038-85-8
Nickel and its compounds,INCLUDE,"[29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]nickel",14055-02-8
Nickel and its compounds,INCLUDE,"Bis(quinolin-8-olato-N1,O8)nickel",14100-15-3
Nickel and its compounds,INCLUDE,Nickel tungsten tetraoxide,14177-51-6
Nickel and its compounds,INCLUDE,Molybdenum nickel tetraoxide,14177-55-0
Nickel and its compounds,INCLUDE,"Nitric acid, nickel salt",14216-75-2
Nickel and its compounds,INCLUDE,Dipotassium tetracyanoniccolate,14220-17-8
Nickel and its compounds,INCLUDE,Bis(triphenylphosphine)nickel(II) chloride,14264-16-5
Nickel and its compounds,INCLUDE,"Bis(diethyldithiocarbamato-S,S')nickel",14267-17-5
Nickel and its compounds,INCLUDE,Nickel hydrogen phosphate,14332-34-4
Nickel and its compounds,INCLUDE,"Bis(1-nitrosonaphthalen-2-olato-N1,O2)nickel",14406-66-7
Nickel and its compounds,INCLUDE,"Bis[bis(2-ethylhexyl)dithiocarbamato-S,S']nickel",14428-08-1
Nickel and its compounds,INCLUDE,Dinickel diphosphate,14448-18-1
Nickel and its compounds,INCLUDE,Nickel bis(phosphinate),14507-36-9
Nickel and its compounds,INCLUDE,"(butylamine)[[2,2'-thiobis[4-(1,1,3,3-tetramethylbutyl)phenolato]](2-)-O,O',S]nickel",14516-71-3
Nickel and its compounds,INCLUDE,"Bis(6-methylheptane-2,4-dionato-O,O')nickel",14522-99-7
Nickel and its compounds,INCLUDE,Nickel dibromate,14550-87-9
Nickel and its compounds,INCLUDE,Nickel bis(tetrafluoroborate),14708-14-6
Nickel and its compounds,INCLUDE,Nickel chromate,14721-18-7
Nickel and its compounds,INCLUDE,Dinickel hexacyanoferrate,14874-78-3
Nickel and its compounds,INCLUDE,"Bis(1,1,1,5,5,5-hexafluoropentane-2,4-dionato-O,O')nickel",14949-69-0
Nickel and its compounds,INCLUDE,Nickel acetate,14998-37-9
Nickel and its compounds,INCLUDE,Nickel selenate,15060-62-5
Nickel and its compounds,INCLUDE,Bis(diisobutyldithiocarbamato)nickel,15317-78-9
Nickel and its compounds,INCLUDE,Nickel bis(dimethyldithiocarbamate),15521-65-0
Nickel and its compounds,INCLUDE,Nickel dichromate,15586-38-6
Nickel and its compounds,INCLUDE,Diammonium nickel bis(sulphate),15699-18-0
Nickel and its compounds,INCLUDE,Hexakis(1H-imidazole-N3)nickel(2+) dichloride,15751-00-5
Nickel and its compounds,INCLUDE,Nickel triuranium decaoxide,15780-33-3
Nickel and its compounds,INCLUDE,"Formic acid, nickel salt",15843-02-4
Nickel and its compounds,INCLUDE,Bis[2-hydroxy-4-(octyloxy)benzophenonato]nickel,15843-91-1
Nickel and its compounds,INCLUDE,Nickel tellurium trioxide,15851-52-2
Nickel and its compounds,INCLUDE,Nickel tellurium tetraoxide,15852-21-8
Nickel and its compounds,INCLUDE,Nickel(2+) trifluoroacetate,16083-14-0
Nickel and its compounds,INCLUDE,"[[2,2'-sulphonylbis[4-(1,1,3,3-tetramethylbutyl)phenolato]](2-)-O1,O1',O2]nickel",16432-37-4
Nickel and its compounds,INCLUDE,Nickel sulphide,16812-54-7
Nickel and its compounds,INCLUDE,"[[2,2'-thiobis[4-(1,1,3,3-tetramethylbutyl)phenolato]](2-)-O,O',S]nickel",27574-34-1
Nickel and its compounds,INCLUDE,Nickel isooctanoate,27637-46-3
Nickel and its compounds,INCLUDE,"[29H,31H-phthalocyaninetetrasulphonyl tetrachloridato(2)-N29,N30,N31,N32 ]nickel",28680-76-4
Nickel and its compounds,INCLUDE,"Bis[stilbene-α,β-dithiolato(2-)]nickel",28984-20-5
Nickel and its compounds,INCLUDE,"Bis[2,3-bis(hydroxyimino)-N-phenylbutyramidato-N2,N3]nickel",29204-84-0
Nickel and its compounds,INCLUDE,Nickel(II) isooctanoate,29317-63-3
Nickel and its compounds,INCLUDE,Nickel hexafluorozirconate(2-),30868-55-4
Nickel and its compounds,INCLUDE,"Nickel(2+) diethyl bis[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]phosphonate]",30947-30-9
Nickel and its compounds,INCLUDE,Nickel silicate(3:4),31748-25-1
Nickel and its compounds,INCLUDE,"[[2,2'-thiobis[3-octylphenolato]](2-)-O,O',S]nickel",33882-09-6
Nickel and its compounds,INCLUDE,"Hydrogen [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']nickelate(1-)",34831-03-3
Nickel and its compounds,INCLUDE,Tetrakis(tritolyl phosphite )nickel,35884-66-3
Nickel and its compounds,INCLUDE,Nickel bisphosphinate,36026-88-7
Nickel and its compounds,INCLUDE,"Bis(dipentyldithiocarbamato-S,S')nickel",36259-37-7
Nickel and its compounds,INCLUDE,Nickel chloride,37211-05-5
Nickel and its compounds,INCLUDE,"Silicic acid, nickel salt",37321-15-6
Nickel and its compounds,INCLUDE,"Bis[1-[4-(dimethylamino)phenyl]-2-phenylethylene-1,2-dithiolato(2-)-S,S']nickel",38465-55-3
Nickel and its compounds,INCLUDE,"Tris(4,7-diphenyl-1,10-phenanthroline-N1,N10)nickel(2+) dinitrate",38780-90-4
Nickel and its compounds,INCLUDE,"Bis[2-butene-2,3-dithiolato(2-)-S,S']nickel",38951-94-9
Nickel and its compounds,INCLUDE,"Bis[4,4'-dimethoxy-α,α'-stilbenedithiolato(2-)]nickel",38951-97-2
Nickel and its compounds,INCLUDE,Dipotassium tris(cyano-C)nickelate(2-),39049-81-5
Nickel and its compounds,INCLUDE,Nickel bis(benzenesulphonate),39819-65-3
Nickel and its compounds,INCLUDE,Nickel bis(piperidine-1-carbodithioate),41476-75-9
Nickel and its compounds,INCLUDE,"Bis[2,3-bis(hydroxyimino)-N-(2-methoxyphenyl)butyramidato]nickel",42739-61-7
Nickel and its compounds,INCLUDE,"[1,3-dihydro-5,6-bis[[(2-hydroxy-1-naphthyl)methylene]amino]-2H-benzimidazol-2-onato(2-)-N5,N6,O5,O6]nickel",42844-93-9
Nickel and its compounds,INCLUDE,"[[2,2'-(4,8-dichlorobenzo[1,2-d:4,5-d']bisoxazole-2,6-diyl)bis[4,6-dichlorophenolato]](2-)]nickel",47726-62-5
Nickel and its compounds,INCLUDE,Nickel acrylate,51222-18-5
Nickel and its compounds,INCLUDE,"Neodecanoic acid, nickel salt",51818-56-5
Nickel and its compounds,INCLUDE,"Copper, compound with lanthanum and nickel (4:1:1)",51912-52-8
Nickel and its compounds,INCLUDE,"Bis[3-[(4-chlorophenyl)azo]quinoline--2,4(1H,3H)-dionato]nickel",51931-46-5
Nickel and its compounds,INCLUDE,"Nickel [R(R*,R*)]-tartrate",52022-10-3
Nickel and its compounds,INCLUDE,"Bis[(2-hydroxyethyl)dithiocarbamato-S,S']nickel",52486-98-3
Nickel and its compounds,INCLUDE,"Bis[bis(2-hydroxyethyl)dithiocarbamato-S,S']nickel",52486-99-4
Nickel and its compounds,INCLUDE,Nickel(2+) methacrylate,52496-91-0
Nickel and its compounds,INCLUDE,Nickel divanadium hexaoxide,52502-12-2
Nickel and its compounds,INCLUDE,"Bis(diethyldithiocarbamato-S,S')nickel",52610-81-8
Nickel and its compounds,INCLUDE,"Nickel 3,5-bis(tert-butyl-4-hydroxybenzoate (1:2)",52625-25-9
Nickel and its compounds,INCLUDE,"Bis[2,4-dihydro-5-methyl-4-(1-oxodecyl)-2-phenyl-3H-pyrazol-3-onato-O,O']nickel",56557-00-7
Nickel and its compounds,INCLUDE,Cobalt nickel dioxide,58591-45-0
Nickel and its compounds,INCLUDE,Nickel(2+) acrylate,60700-37-0
Nickel and its compounds,INCLUDE,"Hydrogen [3,4-bis[[(2-hydroxy-1-naphthyl)methylene]amino]benzoato(3-)-N3,N4,O3,O4]nickelate(1-)",61300-98-9
Nickel and its compounds,INCLUDE,"Nickel, 3-[(4-chlorophenyl)azo]-4-hydroxy-2(1H)-quinolinone complex",61725-51-7
Nickel and its compounds,INCLUDE,"Naphthenic acids, nickel salts",61788-71-4
Nickel and its compounds,INCLUDE,"Bis(ethylenediamine-N,N')copper tetrakis(cyano-C)nickelate",63427-32-7
Nickel and its compounds,INCLUDE,Tetrapotassium [[[nitrilotris(methylene)]tris[phosphonato]](6-)]nickelate(4-),63588-33-0
Nickel and its compounds,INCLUDE,"Tripotassium [N,N-bis(phosphonomethyl)glycinato(5-)]nickelate(3-)",63597-34-2
Nickel and its compounds,INCLUDE,"Potassium [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']nickelate(1-)",63640-18-6
Nickel and its compounds,INCLUDE,"[2,3'-bis[[(2-hydroxyphenyl)methylene]amino]but-2-enedinitrilato(2-)-N2,N3,O2,O3]nickel",64696-98-6
Nickel and its compounds,INCLUDE,[μ-[carbonato(2-)-O:O']]dihydroxydinickel,65405-96-1
Nickel and its compounds,INCLUDE,"(propan-2-ol)[[2,2'-thiobis[4-(1,1,3,3-tetramethylbutyl)phenolato]](2-)-O,O',S]nickel",67763-27-3
Nickel and its compounds,INCLUDE,"Potassium [[N,N'-ethylenebis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']nickelate(1-)",67906-12-1
Nickel and its compounds,INCLUDE,"Nickel(2+) dihydrogen bis[R-(R*,R*)]-tartrate",67952-41-4
Nickel and its compounds,INCLUDE,Nickel dichlorate,67952-43-6
Nickel and its compounds,INCLUDE,Nickel(2+) glycerol phosphate,67952-69-6
Nickel and its compounds,INCLUDE,Triammonium hydrogen [[[nitrilotris(methylene)]tris[phosphonato]](6-)]nickelate(4-),67968-22-3
Nickel and its compounds,INCLUDE,Cobalt dimolybdenum nickel octaoxide,68016-03-5
Nickel and its compounds,INCLUDE,Diammonium nickel bis(hydrogen citrate),68025-13-8
Nickel and its compounds,INCLUDE,"Triammonium [N,N-bis(phosphonomethyl)glycinato(5-)]nickelate(3-)",68025-40-1
Nickel and its compounds,INCLUDE,"Trisodium [N,N-bis(phosphonomethyl)glycinato(5-)]nickelate(3-)",68025-41-2
Nickel and its compounds,INCLUDE,"Tetrasodium [[[nitrilotris(methylene)]tris[phosphonato]](6-)-N,O,O'',O'''nickelate(4-)]",68052-00-6
Nickel and its compounds,INCLUDE,Molybdenum nickel hydroxide oxide phosphate,68130-36-9
Nickel and its compounds,INCLUDE,[(2-amino-2-oxoethoxy)acetato(2-)]nickel,68133-84-6
Nickel and its compounds,INCLUDE,"Formic acid, copper nickel salt",68134-59-8
Nickel and its compounds,INCLUDE,Cobalt titanite green spinel,68186-85-6
Nickel and its compounds,INCLUDE,Cobalt nickel gray periclase,68186-89-0
Nickel and its compounds,INCLUDE,Nickel ferrite brown spinel,68187-10-0
Nickel and its compounds,INCLUDE,"Tris(4,7-diphenyl-1,10-phenanthroline-N1,N10)nickel(2+) bis[tetrafluoroborate(1-)]",68309-97-7
Nickel and its compounds,INCLUDE,"Resin acids and Rosin acids, nickel salts",68334-36-1
Nickel and its compounds,INCLUDE,"2,3-dihydroxypropyl (dihydrogen phosphate), nickel salt (1:1)",68391-37-7
Nickel and its compounds,INCLUDE,"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs.",68412-18-0
Nickel and its compounds,INCLUDE,"Nickel, 5,5'-azobis-2,4,6(1H,3H,5H)-pyrimidinetrione complexes",68511-62-6
